id,memberid,logged_on
2,1493,2020-11-25
2,181,2020-11-25
2,280,2020-11-25
2,4440,2020-11-25
2,4378,2020-11-25
2,1200,2020-11-25
2,4025,2020-11-25
2,1480,2020-11-25
2,1548,2020-11-25
2,1383,2020-11-25
2,4677,2020-11-25
202,4000,2020-11-25
202,4798,2020-11-25
202,4005,2020-11-25
202,3958,2020-11-25
202,4435,2020-11-25
202,4136,2020-11-25
202,4851,2020-11-25
202,4848,2020-11-25
365,4621,2020-11-25
365,4470,2020-11-25
365,4391,2020-11-25
365,3912,2020-11-25
365,4460,2020-11-25
365,4830,2020-11-25
365,4752,2020-11-25
365,4799,2020-11-25
365,4052,2020-11-25
365,4866,2020-11-25
365,4786,2020-11-25
289,1446,2020-11-25
289,4791,2020-11-25
289,4439,2020-11-25
289,4572,2020-11-25
289,4774,2020-11-25
289,40,2020-11-25
289,4437,2020-11-25
381,1428,2020-11-25
381,4032,2020-11-25
381,529,2020-11-25
381,4004,2020-11-25
381,3948,2020-11-25
381,1548,2020-11-25
381,3992,2020-11-25
381,1383,2020-11-25
381,4482,2020-11-25
290,1446,2020-11-25
290,80021,2020-11-25
290,80006,2020-11-25
290,80018,2020-11-25
290,80001,2020-11-25
290,80014,2020-11-25
290,4791,2020-11-25
290,4439,2020-11-25
290,4572,2020-11-25
290,4774,2020-11-25
290,40,2020-11-25
290,4437,2020-11-25
366,413,2020-11-25
366,4743,2020-11-25
366,1581,2020-11-25
366,4419,2020-11-25
366,242,2020-11-25
366,4807,2020-11-25
366,4870,2020-11-25
366,4842,2020-11-25
366,4833,2020-11-25
366,4511,2020-11-25
366,4359,2020-11-25
366,4253,2020-11-25
366,4136,2020-11-25
366,4868,2020-11-25
366,4760,2020-11-25
366,411,2020-11-25
366,4750,2020-11-25
366,4504,2020-11-25
366,4844,2020-11-25
366,4766,2020-11-25
366,4385,2020-11-25
15,4074,2020-11-25
15,4267,2020-11-25
15,4819,2020-11-25
15,4368,2020-11-25
15,4374,2020-11-25
15,1487,2020-11-25
15,473,2020-11-25
15,4403,2020-11-25
15,4277,2020-11-25
15,3998,2020-11-25
15,4811,2020-11-25
15,4515,2020-11-25
15,318,2020-11-25
15,4462,2020-11-25
15,4848,2020-11-25
24,1487,2020-11-25
24,4742,2020-11-25
24,4855,2020-11-25
24,4374,2020-11-25
24,4132,2020-11-25
24,1444,2020-11-25
24,1438,2020-11-25
24,4277,2020-11-25
24,4360,2020-11-25
24,318,2020-11-25
24,429,2020-11-25
343,1487,2020-11-25
343,4742,2020-11-25
343,4855,2020-11-25
343,4374,2020-11-25
343,4132,2020-11-25
343,1444,2020-11-25
343,1438,2020-11-25
343,4277,2020-11-25
343,4360,2020-11-25
343,318,2020-11-25
343,429,2020-11-25
378,4410,2020-11-25
378,1400,2020-11-25
378,4067,2020-11-25
378,4849,2020-11-25
378,165,2020-11-25
378,4127,2020-11-25
378,76,2020-11-25
378,3969,2020-11-25
378,4415,2020-11-25
378,4677,2020-11-25
378,4053,2020-11-25
438,4410,2020-11-25
438,1400,2020-11-25
438,4067,2020-11-25
438,1565,2020-11-25
438,4849,2020-11-25
438,165,2020-11-25
438,4127,2020-11-25
438,76,2020-11-25
438,3969,2020-11-25
438,4415,2020-11-25
438,4677,2020-11-25
203,3985,2020-11-25
203,4788,2020-11-25
203,4790,2020-11-25
203,4814,2020-11-25
203,4771,2020-11-25
203,4592,2020-11-25
203,4824,2020-11-25
203,4761,2020-11-25
203,4000,2020-11-25
203,4872,2020-11-25
203,4871,2020-11-25
52,4072,2020-11-25
52,4831,2020-11-25
52,155,2020-11-25
52,4736,2020-11-25
52,4616,2020-11-25
52,146,2020-11-25
52,4853,2020-11-25
52,4861,2020-11-25
52,4100,2020-11-25
52,4079,2020-11-25
52,4532,2020-11-25
62,1542,2020-11-25
62,4784,2020-11-25
62,242,2020-11-25
62,4822,2020-11-25
62,146,2020-11-25
62,1562,2020-11-25
62,4749,2020-11-25
62,4789,2020-11-25
62,3930,2020-11-25
62,4758,2020-11-25
62,4739,2020-11-25
62,4424,2020-11-25
62,4006,2020-11-25
62,4658,2020-11-25
62,4848,2020-11-25
62,4869,2020-11-25
69,288,2020-11-25
69,4747,2020-11-25
69,1406,2020-11-25
69,4740,2020-11-25
69,4132,2020-11-25
69,4386,2020-11-25
69,4446,2020-11-25
69,4490,2020-11-25
69,1502,2020-11-25
69,4359,2020-11-25
69,206,2020-11-25
69,4789,2020-11-25
69,4529,2020-11-25
69,4249,2020-11-25
69,4799,2020-11-25
69,4778,2020-11-25
393,3996,2020-11-25
393,4357,2020-11-25
393,155,2020-11-25
393,4459,2020-11-25
393,1542,2020-11-25
393,1198,2020-11-25
393,4843,2020-11-25
393,4813,2020-11-25
393,4359,2020-11-25
393,4799,2020-11-25
393,4406,2020-11-25
393,4425,2020-11-25
393,4482,2020-11-25
393,4618,2020-11-25
393,4438,2020-11-25
393,4825,2020-11-25
325,4029,2020-11-25
325,4107,2020-11-25
325,394,2020-11-25
325,4821,2020-11-25
325,249,2020-11-25
325,4850,2020-11-25
325,36,2020-11-25
325,4453,2020-11-25
325,4872,2020-11-25
325,1383,2020-11-25
325,390,2020-11-25
78,4462,2020-11-25
78,1446,2020-11-25
78,4368,2020-11-25
78,4805,2020-11-25
78,4461,2020-11-25
78,1447,2020-11-25
78,4681,2020-11-25
78,3960,2020-11-25
78,4478,2020-11-25
78,449,2020-11-25
78,4848,2020-11-25
81,1572,2020-11-25
81,4792,2020-11-25
81,1538,2020-11-25
81,4476,2020-11-25
81,4781,2020-11-25
81,4782,2020-11-25
81,1588,2020-11-25
81,4779,2020-11-25
81,4777,2020-11-25
81,4812,2020-11-25
81,4780,2020-11-25
83,420,2020-11-25
83,172,2020-11-25
83,4737,2020-11-25
83,4808,2020-11-25
83,4826,2020-11-25
83,4744,2020-11-25
83,1506,2020-11-25
83,1522,2020-11-25
83,1533,2020-11-25
83,114,2020-11-25
83,4393,2020-11-25
348,81844,2020-11-25
348,81502,2020-11-25
348,80017,2020-11-25
348,80007,2020-11-25
348,467,2020-11-25
348,4099,2020-11-25
348,4076,2020-11-25
348,1493,2020-11-25
348,390,2020-11-25
348,1440,2020-11-25
17,394,2020-11-25
17,4005,2020-11-25
17,4831,2020-11-25
17,4756,2020-11-25
17,4836,2020-11-25
17,4803,2020-11-25
17,4873,2020-11-25
17,4749,2020-11-25
17,4820,2020-11-25
17,4406,2020-11-25
17,4598,2020-11-25
98,4267,2020-11-25
98,1451,2020-11-25
98,4819,2020-11-25
98,4756,2020-11-25
98,4025,2020-11-25
98,4403,2020-11-25
98,1396,2020-11-25
98,4811,2020-11-25
98,4515,2020-11-25
98,3932,2020-11-25
98,1604,2020-11-25
347,4819,2020-11-25
347,1451,2020-11-25
347,4267,2020-11-25
347,4403,2020-11-25
347,4515,2020-11-25
347,3932,2020-11-25
367,1546,2020-11-25
367,4589,2020-11-25
367,4074,2020-11-25
367,4633,2020-11-25
367,473,2020-11-25
367,3998,2020-11-25
367,4779,2020-11-25
367,4615,2020-11-25
367,3957,2020-11-25
367,4755,2020-11-25
367,4438,2020-11-25
102,1601,2020-11-25
102,4828,2020-11-25
102,4493,2020-11-25
102,4745,2020-11-25
102,4854,2020-11-25
102,4816,2020-11-25
102,483,2020-11-25
102,1606,2020-11-25
102,4772,2020-11-25
102,4860,2020-11-25
102,1516,2020-11-25
103,40,2020-11-25
103,413,2020-11-25
103,394,2020-11-25
103,4110,2020-11-25
103,1446,2020-11-25
103,288,2020-11-25
103,4267,2020-11-25
103,1578,2020-11-25
103,420,2020-11-25
103,1554,2020-11-25
103,1542,2020-11-25
103,1487,2020-11-25
103,4029,2020-11-25
103,3985,2020-11-25
103,150,2020-11-25
103,1524,2020-11-25
103,4494,2020-11-25
103,1572,2020-11-25
103,3996,2020-11-25
103,4621,2020-11-25
103,4410,2020-11-25
103,1546,2020-11-25
103,4125,2020-11-25
103,4093,2020-11-25
103,4000,2020-11-25
103,4442,2020-11-25
103,1548,2020-11-25
103,1601,2020-11-25
103,4048,2020-11-25
103,4072,2020-11-25
103,3935,2020-11-25
103,163,2020-11-25
103,4462,2020-11-25
103,1493,2020-11-25
103,1428,2020-11-25
103,1440,2020-11-25
103,4429,2020-11-25
107,467,2020-11-25
107,4099,2020-11-25
107,4076,2020-11-25
107,1493,2020-11-25
107,390,2020-11-25
107,1440,2020-11-25
120,4494,2020-11-25
120,4512,2020-11-25
120,4793,2020-11-25
120,1409,2020-11-25
120,4856,2020-11-25
120,4753,2020-11-25
120,1562,2020-11-25
120,4827,2020-11-25
120,4129,2020-11-25
120,4607,2020-11-25
120,3919,2020-11-25
11,4138,2020-11-25
11,44,2020-11-25
11,4486,2020-11-25
11,394,2020-11-25
11,1581,2020-11-25
11,435,2020-11-25
11,199,2020-11-25
11,242,2020-11-25
11,4391,2020-11-25
11,155,2020-11-25
11,1565,2020-11-25
11,4397,2020-11-25
11,491,2020-11-25
11,165,2020-11-25
11,4127,2020-11-25
11,474,2020-11-25
11,4034,2020-11-25
11,87,2020-11-25
11,4460,2020-11-25
11,18,2020-11-25
11,261,2020-11-25
11,473,2020-11-25
11,1537,2020-11-25
11,1514,2020-11-25
11,481,2020-11-25
11,4511,2020-11-25
11,36,2020-11-25
11,345,2020-11-25
11,298,2020-11-25
11,193,2020-11-25
11,4084,2020-11-25
11,1480,2020-11-25
11,1512,2020-11-25
11,4100,2020-11-25
11,4048,2020-11-25
11,4129,2020-11-25
11,1576,2020-11-25
11,4525,2020-11-25
11,253,2020-11-25
11,1447,2020-11-25
11,1604,2020-11-25
11,234,2020-11-25
11,449,2020-11-25
11,429,2020-11-25
11,1493,2020-11-25
11,390,2020-11-25
326,4125,2020-11-25
326,4623,2020-11-25
326,4775,2020-11-25
326,4488,2020-11-25
326,4040,2020-11-25
326,4834,2020-11-25
326,4832,2020-11-25
326,4814,2020-11-25
326,4644,2020-11-25
326,4771,2020-11-25
326,1500,2020-11-25
126,4110,2020-11-25
126,4837,2020-11-25
126,4357,2020-11-25
126,4643,2020-11-25
126,4610,2020-11-25
126,242,2020-11-25
126,491,2020-11-25
126,4572,2020-11-25
126,261,2020-11-25
126,4874,2020-11-25
126,1438,2020-11-25
126,4136,2020-11-25
126,4627,2020-11-25
126,4767,2020-11-25
126,4482,2020-11-25
126,4618,2020-11-25
126,4802,2020-11-25
207,1451,2020-11-25
207,4643,2020-11-25
207,523,2020-11-25
207,165,2020-11-25
207,4466,2020-11-25
207,1524,2020-11-25
207,345,2020-11-25
207,4484,2020-11-25
207,4099,2020-11-25
127,1524,2020-11-25
127,4798,2020-11-25
127,4597,2020-11-25
127,4757,2020-11-25
127,4864,2020-11-25
127,249,2020-11-25
127,146,2020-11-25
127,18,2020-11-25
127,4466,2020-11-25
127,4813,2020-11-25
127,40,2020-11-25
127,4529,2020-11-25
127,3914,2020-11-25
127,4591,2020-11-25
127,3928,2020-11-25
127,4787,2020-11-25
327,4429,2020-11-25
327,4465,2020-11-25
327,4065,2020-11-25
327,4873,2020-11-25
327,1502,2020-11-25
327,4811,2020-11-25
327,1512,2020-11-25
327,4845,2020-11-25
327,4615,2020-11-25
327,4444,2020-11-25
327,3942,2020-11-25
131,4093,2020-11-25
131,4835,2020-11-25
131,4065,2020-11-25
131,4807,2020-11-25
131,4127,2020-11-25
131,4074,2020-11-25
131,69,2020-11-25
131,1438,2020-11-25
131,4762,2020-11-25
131,4458,2020-11-25
131,4760,2020-11-25
131,4030,2020-11-25
135,1578,2020-11-25
135,4837,2020-11-25
135,1489,2020-11-25
135,4835,2020-11-25
135,4834,2020-11-25
135,4874,2020-11-25
135,4621,2020-11-25
135,4815,2020-11-25
135,4443,2020-11-25
135,449,2020-11-25
135,4786,2020-11-25
136,1440,2020-11-25
136,4421,2020-11-25
136,4601,2020-11-25
136,4417,2020-11-25
136,4765,2020-11-25
136,4439,2020-11-25
136,1406,2020-11-25
136,4842,2020-11-25
136,4608,2020-11-25
136,4627,2020-11-25
136,4618,2020-11-25
301,1397,2020-11-25
301,4800,2020-11-25
301,4267,2020-11-25
301,4819,2020-11-25
301,4040,2020-11-25
301,4842,2020-11-25
301,4824,2020-11-25
301,1566,2020-11-25
301,1588,2020-11-25
301,4048,2020-11-25
301,4812,2020-11-25
143,467,2020-11-25
143,80980,2020-11-25
143,80005,2020-11-25
143,80020,2020-11-25
143,1446,2020-11-25
143,4440,2020-11-25
143,18,2020-11-25
143,4099,2020-11-25
143,55,2020-11-25
143,4076,2020-11-25
143,1493,2020-11-25
144,467,2020-11-25
144,1571,2020-11-25
144,4450,2020-11-25
144,4529,2020-11-25
144,4408,2020-11-25
144,4028,2020-11-25
144,4436,2020-11-25
144,4482,2020-11-25
144,4429,2020-11-25
149,1548,2020-11-25
149,4476,2020-11-25
149,4803,2020-11-25
149,4608,2020-11-25
149,245,2020-11-25
149,4482,2020-11-25
149,4618,2020-11-25
153,4442,2020-11-25
153,4389,2020-11-25
153,4029,2020-11-25
153,4862,2020-11-25
153,4852,2020-11-25
153,4751,2020-11-25
153,4028,2020-11-25
153,3973,2020-11-25
153,4420,2020-11-25
153,4778,2020-11-25
153,4829,2020-11-25
158,3935,2020-11-25
158,4138,2020-11-25
158,4064,2020-11-25
158,4107,2020-11-25
158,4801,2020-11-25
158,4821,2020-11-25
158,491,2020-11-25
158,4644,2020-11-25
158,4768,2020-11-25
158,193,2020-11-25
158,4430,2020-11-25
162,1554,2020-11-25
162,4623,2020-11-25
162,4800,2020-11-25
162,4859,2020-11-25
162,155,2020-11-25
162,4716,2020-11-25
162,4630,2020-11-25
162,4746,2020-11-25
162,4810,2020-11-25
162,4766,2020-11-25
162,4809,2020-11-25
328,4048,2020-11-25
328,4838,2020-11-25
328,4819,2020-11-25
328,4775,2020-11-25
328,4469,2020-11-25
328,4849,2020-11-25
328,4754,2020-11-25
328,4824,2020-11-25
328,4783,2020-11-25
328,4764,2020-11-25
328,4868,2020-11-25
164,163,2020-11-25
164,4212,2020-11-25
164,4757,2020-11-25
164,4847,2020-11-25
164,4368,2020-11-25
164,298,2020-11-25
164,4136,2020-11-25
164,4863,2020-11-25
164,4785,2020-11-25
164,4463,2020-11-25
164,55,2020-11-25
